phase,beam_energy_ev,bin_min_ev,bin_max_ev,counts,yield
gamma,200,0,10,0,0
gamma,200,10,20,4960,0.992
gamma,200,20,30,2370,0.474
gamma,200,30,40,644,0.1288
gamma,200,40,50,55,0.011
gamma,200,50,60,50,0.01
gamma,200,60,70,53,0.0106
gamma,200,70,80,57,0.0114
gamma,200,80,90,52,0.0104
gamma,200,90,100,64,0.0128
gamma,200,100,110,55,0.011
gamma,200,110,120,80,0.016
gamma,200,120,130,68,0.0136
gamma,200,130,140,69,0.0138
gamma,200,140,150,72,0.0144
gamma,200,150,160,100,0.02
gamma,200,160,170,87,0.0174
gamma,200,170,180,104,0.0208
gamma,200,180,190,111,0.0222
gamma,200,190,200,109,0.0218
gamma,500,0,10,0,0
gamma,500,10,20,5104,1.0208
gamma,500,20,30,1970,0.394
gamma,500,30,40,497,0.0994
gamma,500,40,50,14,0.0028
gamma,500,50,60,9,0.0018
gamma,500,60,70,16,0.0032
gamma,500,70,80,14,0.0028
gamma,500,80,90,13,0.0026
gamma,500,90,100,13,0.0026
gamma,500,100,110,14,0.0028
gamma,500,110,120,10,0.002
gamma,500,120,130,20,0.004
gamma,500,130,140,19,0.0038
gamma,500,140,150,18,0.0036
gamma,500,150,160,18,0.0036
gamma,500,160,170,24,0.0048
gamma,500,170,180,14,0.0028
gamma,500,180,190,29,0.0058
gamma,500,190,200,20,0.004
gamma,500,200,210,18,0.0036
gamma,500,210,220,22,0.0044
gamma,500,220,230,30,0.006
gamma,500,230,240,25,0.005
gamma,500,240,250,20,0.004
gamma,500,250,260,34,0.0068
gamma,500,260,270,31,0.0062
gamma,500,270,280,27,0.0054
gamma,500,280,290,37,0.0074
gamma,500,290,300,25,0.005
gamma,500,300,310,21,0.0042
gamma,500,310,320,34,0.0068
gamma,500,320,330,25,0.005
gamma,500,330,340,38,0.0076
gamma,500,340,350,33,0.0066
gamma,500,350,360,41,0.0082
gamma,500,360,370,50,0.01
gamma,500,370,380,38,0.0076
gamma,500,380,390,52,0.0104
gamma,500,390,400,47,0.0094
gamma,500,400,410,44,0.0088
gamma,500,410,420,68,0.0136
gamma,500,420,430,43,0.0086
gamma,500,430,440,63,0.0126
gamma,500,440,450,60,0.012
gamma,500,450,460,62,0.0124
gamma,500,460,470,60,0.012
gamma,500,470,480,60,0.012
gamma,500,480,490,65,0.013
gamma,500,490,500,69,0.0138
gamma,1000,0,10,0,0
gamma,1000,10,20,4059,0.8118
gamma,1000,20,30,1493,0.2986
gamma,1000,30,40,414,0.0828
gamma,1000,40,50,4,0.0008
gamma,1000,50,60,4,0.0008
gamma,1000,60,70,3,0.0006
gamma,1000,70,80,3,0.0006
gamma,1000,80,90,7,0.0014
gamma,1000,90,100,7,0.0014
gamma,1000,100,110,1,0.0002
gamma,1000,110,120,1,0.0002
gamma,1000,120,130,5,0.001
gamma,1000,130,140,3,0.0006
gamma,1000,140,150,5,0.001
gamma,1000,150,160,8,0.0016
gamma,1000,160,170,7,0.0014
gamma,1000,170,180,2,0.0004
gamma,1000,180,190,10,0.002
gamma,1000,190,200,6,0.0012
gamma,1000,200,210,9,0.0018
gamma,1000,210,220,7,0.0014
gamma,1000,220,230,6,0.0012
gamma,1000,230,240,7,0.0014
gamma,1000,240,250,4,0.0008
gamma,1000,250,260,8,0.0016
gamma,1000,260,270,10,0.002
gamma,1000,270,280,11,0.0022
gamma,1000,280,290,7,0.0014
gamma,1000,290,300,10,0.002
gamma,1000,300,310,10,0.002
gamma,1000,310,320,7,0.0014
gamma,1000,320,330,7,0.0014
gamma,1000,330,340,5,0.001
gamma,1000,340,350,10,0.002
gamma,1000,350,360,11,0.0022
gamma,1000,360,370,10,0.002
gamma,1000,370,380,11,0.0022
gamma,1000,380,390,9,0.0018
gamma,1000,390,400,7,0.0014
gamma,1000,400,410,7,0.0014
gamma,1000,410,420,15,0.003
gamma,1000,420,430,7,0.0014
gamma,1000,430,440,12,0.0024
gamma,1000,440,450,12,0.0024
gamma,1000,450,460,15,0.003
gamma,1000,460,470,17,0.0034
gamma,1000,470,480,15,0.003
gamma,1000,480,490,18,0.0036
gamma,1000,490,500,6,0.0012
gamma,1000,500,510,8,0.0016
gamma,1000,510,520,17,0.0034
gamma,1000,520,530,10,0.002
gamma,1000,530,540,19,0.0038
gamma,1000,540,550,19,0.0038
gamma,1000,550,560,14,0.0028
gamma,1000,560,570,18,0.0036
gamma,1000,570,580,17,0.0034
gamma,1000,580,590,28,0.0056
gamma,1000,590,600,23,0.0046
gamma,1000,600,610,16,0.0032
gamma,1000,610,620,14,0.0028
gamma,1000,620,630,19,0.0038
gamma,1000,630,640,25,0.005
gamma,1000,640,650,12,0.0024
gamma,1000,650,660,16,0.0032
gamma,1000,660,670,20,0.004
gamma,1000,670,680,15,0.003
